id,last_name,gender,shirt_size,shirt_color,latitude,longitude
1,Spenton,M,2XL,Mauv,40.021,-91.611
2,Whittier,M,3XL,Puce,41.075,-91.649
3,Bordis,M,XL,Green,40.409,-90.866
4,Cannavan,M,S,Violet,40.461,-91.3
5,Fossitt,F,2XL,Indigo,41.705,-95.156
6,Piburn,M,M,Fuscia,42.268,-91.328
7,Rowden,M,L,Orange,43.442,-90.109
8,Janaszewski,F,L,Purple,43.518,-90.168
9,Alldred,M,2XL,Orange,43.605,-94.548
10,Dabs,F,3XL,Turquoise,43.095,-94.147
11,Bunning,F,S,Orange,42.865,-92.274
12,Pack,F,XS,Crimson,41.16,-94.899
13,Carvilla,F,S,Yellow,41.664,-93.873
14,Dilon,M,L,Maroon,41.109,-92.176
15,Zoppo,F,2XL,Green,40.762,-96.593
16,Yeomans,M,S,Aquamarine,42.369,-96.835
17,McGown,M,M,Indigo,43.982,-94.199
18,Mottinelli,M,2XL,Fuscia,41.732,-93.328
19,Halkyard,M,L,Orange,43.852,-94.4
20,Lagne,M,XS,Orange,40.785,-95.123
21,Wrixon,M,L,Fuscia,41.785,-96.725
22,Andreou,F,S,Goldenrod,42.99,-96.722
23,Reuble,M,3XL,Mauv,40.819,-94.105
24,Fynes,F,XL,Purple,43.06,-93.077
25,Holehouse,F,S,Pink,42.791,-93.682
26,Timms,M,3XL,Pink,41.426,-90.111
27,Vernay,F,XL,Aquamarine,43.338,-94.573
28,Dorian,F,L,Crimson,42.1,-96.198
29,Mashro,F,XL,Mauv,40.714,-90.301
30,Mumbey,M,2XL,Pink,40.687,-94.382
31,Strafford,M,3XL,Puce,40.136,-93.53
32,Regler,F,M,Purple,42.682,-96.454
33,Hanbury,F,2XL,Fuscia,42.347,-91.247
34,Kubis,M,2XL,Red,40.565,-91.618
35,Hamsson,M,2XL,Puce,40.179,-91.703
36,Ivison,M,S,Khaki,40.368,-90.551
37,Brymner,F,S,Purple,41.524,-93.673
38,Gerding,M,3XL,Crimson,42.696,-96.002
39,Fincken,M,XL,Violet,41.813,-96.614
40,Mathivet,F,3XL,Fuscia,42.012,-95.741
41,Olrenshaw,F,L,Maroon,42.613,-94.17
42,Skermer,F,L,Red,41.543,-92.482
43,Perchard,M,2XL,Violet,43.002,-95.129
44,Gaitskell,M,L,Crimson,40.002,-96.807
45,Culham,M,S,Purple,41.597,-93.642
46,Freeberne,F,M,Orange,41.516,-92.425
47,Yurkevich,F,XS,Goldenrod,43.608,-92.473
48,Barsby,F,M,Orange,41.544,-93.808
49,Blagburn,M,L,Pink,40.277,-96.254
50,Moynihan,F,M,Fuscia,40.883,-90.967
51,Huscroft,M,L,Khaki,42.702,-93.661
52,Purvey,F,XL,Purple,43.344,-92.121
53,Lammie,M,L,Violet,41.369,-95.781
54,Wind,F,XS,Fuscia,40.93,-95.065
55,Barraclough,F,M,Maroon,43.309,-91.961
56,Guerro,M,L,Blue,43.811,-92.397
57,Lovegrove,M,XL,Khaki,43.641,-96.89
58,Cranch,M,3XL,Yellow,42.478,-95.393
59,Farland,F,L,Teal,41.275,-93.898
60,Learmont,M,XL,Crimson,40.68,-92.31
61,Gretham,M,XS,Mauv,43.732,-96.436
62,Leate,F,XS,Indigo,43.358,-96.418
63,Beneteau,F,M,Blue,40.426,-90.769
64,Winmill,F,3XL,Khaki,41.301,-94.754
65,Keri,F,L,Turquoise,42.218,-95.046
66,Salway,F,XL,Yellow,40.693,-94.246
67,Byfford,M,2XL,Purple,41.121,-96.193
68,Leyband,M,M,Violet,43.276,-93.076
69,Ciani,M,XL,Crimson,42.547,-95.507
70,Kilroy,F,2XL,Puce,43.853,-96.895
71,Dickinson,F,3XL,Yellow,41.048,-94.185
72,Giottini,F,2XL,Turquoise,40.718,-95.266
73,Stares,F,XS,Turquoise,43.619,-91.277
74,Bishell,F,L,Khaki,43.516,-93.143
75,Bear,F,XS,Aquamarine,40.683,-90.616
76,Broker,F,S,Mauv,42.283,-94.334
77,Dadge,M,2XL,Indigo,43.043,-94.906
78,Marshallsay,M,XS,Maroon,43.766,-96.955
79,Bleackley,F,XS,Aquamarine,43.863,-93.129
80,Scurman,M,S,Maroon,41.462,-93.386
81,Babington,M,3XL,Teal,40.21,-90.274
82,Jacobowitz,M,M,Puce,40.925,-96.056
83,Oxterby,M,XS,Aquamarine,42.721,-91.307
84,Del Monte,F,L,Aquamarine,42.627,-91.058
85,Gosnell,F,2XL,Fuscia,40.661,-90.068
86,Wind,F,L,Crimson,43.932,-96.873
87,Earland,F,S,Aquamarine,43.569,-93.531
88,Bishopp,F,XL,Puce,43.349,-93.251
89,Booler,M,2XL,Blue,42.52,-95.28
90,De Mattei,F,3XL,Teal,42.557,-96.711
91,Gerram,M,XS,Yellow,43.774,-96.311
92,Crysell,M,2XL,Puce,42.214,-90.814
93,Jedraszek,M,XS,Mauv,41.466,-96.757
94,Fishby,F,L,Goldenrod,43.803,-93.24
95,Twitching,F,2XL,Aquamarine,42.61,-92.469
96,Paling,M,2XL,Maroon,41.002,-93.97
97,Volage,M,M,Mauv,41.226,-90.343
98,Peiser,F,M,Khaki,41.369,-96.879
99,Colenutt,F,2XL,Pink,43.203,-94.068
100,Schukraft,M,XS,Teal,40.612,-91.859
